Add,Toevoegen
"Items %1 to %2 of %3 total","Producten %1 tot %2 van %3 in totaal"
"%1 Item","%1 product"
"%1 Item(s)","%1 Item(s)"
Page,Pagina
Previous,Vorige
"You're currently reading page","U lees momenteel pagina"
Next,Volgende
Show,Toon
"per page","per pagina"
Pagination,Paginering
Configuration,Configuratie
